"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC","Mouser Part Number","Manufacturer_Name","Manufacturer_Part_Number","Product","Part"
"C1,C4,C18,C19,C20","5","10u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"C2,C3","2","47p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"C5,C6,C7,C8,C10,C11,C12,C13,C14,C15,C16,C17","12","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"," C49678","","","","",""
"C9","1","47u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"D1,D2,D3","3","D","","","","Diode_SMD:D_PowerDI-123","~","C5563727","","","","SBR3U40P1Q-7 ",""
"D4","1","Red LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"D5","1","Green LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"D6","1","Blue LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2_Pad","~","","","","","",""
"IC1","1","LMR51420XDDCR","","","","local:SOT95P280X110-6N","https://www.ti.com/lit/ds/symlink/lmr51420.pdf?ts=1663231243064","C5246146","595-LMR51420XDDCR","Texas Instruments","LMR51420XDDCR","",""
"J1","1","Barrel_Jack_MountingPin","","","","Connector_BarrelJack:BarrelJack_Horizontal","~","C3010533","","","","",""
"J2","1","Conn_01x04","","","","Connector_Wire:SolderWire-0.5sqmm_1x04_P4.6mm_D0.9mm_OD2.1mm","~","","","","","",""
"J3","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","~","","","","","",""
"J4,J5,J6","3","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","",""
"L1","1","10u","","","","Inductor_SMD:L_Taiyo-Yuden_NR-50xx_HandSoldering","~","","","","","",""
"L2,L3,L4","3","47u","","","","local:INDPM7973X540N","~","","","","","",""
"Q1,Q2,Q3","3","Q_NMOS_GSD","","","","Package_TO_SOT_SMD:SC-59_Handsoldering","~","C553085","","","","","PMV20XNER"
"R1","1","4k7","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"R2,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20","15","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414","","","","",""
"R3,R4","2","27","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"R5","1","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C2828724","","","","",""
"R6","1","22.1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17621","","","","",""
"R21,R22,R23","3","1500","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"U1","1","FT231XS","","","","Package_SO:SSOP-20_3.9x8.7mm_P0.635mm","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121732_FTDI-FT231XS-R_C132160.pdf","C132160","","","","",""
"U2","1","74HC00","","","","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","http://www.ti.com/lit/gpn/sn74hc00","  C5587","","","","",""
"U3","1","ESP32-C3-WROOM-02U","","","","RF_Module:ESP32-C3-WROOM-02U","https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf","C2926676","","","","",""
